TICKER,PRECO,DY,P/L,P/VP,EV/EBIT,ROE,ROIC,CAGR RECEITAS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,VALOR DE MERCADO
BBAS3,"57,49","7,96","4,95","0,99","3,8","20,1",,"9,97","453.844.919,00","57,82","11,62","162.669.724.225,40"
BBSE3,"32,98","14,38","8,62","6,19","7,45","71,8",,,"162.159.308,59","5,33","3,83","64.740.000.000,00"
CMIN3,"6,67","10,46","11,87","3,2","6,41","26,92","22,14","19,26","49.622.807,72","2,09","0,56","36.422.649.884,32"
CSMG3,"21,26","13,61","6,26","1,02","6,92","16,38","10,82","7,38","28.737.840,66","20,75","3,4","8.087.982.777,63"
EQTL3,"34,56","1,01","21,3","2,03","10,05","9,51","10,16","24,5","265.401.535,97","17,06","1,62","39.276.984.665,28"
ITUB4,"34,24","3,67","10,54","1,83","8,16","17,34",,"13,63","806.950.924,72","18,73","3,25","310.204.608.509,16"
JALL3,"7,33","6,04","3,53","1,11","5,28","31,57","15,97",,"4.938.036,07","6,58","2,08","2.212.820.188,56"
JHSF3,"4,41","9,84","7,57","0,59","7,78","7,85","6,98","39,82","11.117.281,28","7,42","0,58","2.982.252.294,99"
LAVV3,"7,79","8,48","8,84","1,23","7,72","13,94","8,71","122,69","4.522.481,31","6,32","0,88","1.542.400.540,96"
MRFG3,"9,23",,"-3,98","1,4","213,38","-35,29","-0,53","66,77","51.156.883,93","6,58","-2,32","8.630.320.000,00"
PETR4,"42,17","17,35","4,02","1,43","3,84","35,47","21,54","17,72","1.276.984.855,59","29,59","10,5","559.147.825.477,80"
POMO3,"6,43","3,61","7,64","1,81","11,52","23,64","10,28","13,49","1.878.079,62","3,56","0,84","7.224.083.920,20"
RANI3,"10,26","8,32","5,32","1,91","5,29","35,81","17,18","14,44","8.127.815,17","5,38","1,93","2.439.070.276,23"
RRRP3,"28,97",,"-189,33","1,34","24,01","-0,71","3,11","118,19","185.909.053,83","21,57","-0,15","6.954.298.994,50"
TOTS3,"30,11","1,46","24,3","3,94","23,25","16,23","8,68","11,23","98.327.621,83","7,64","1,24","18.361.199.634,75"
UGPA3,"29,56","1,18","15,24","2,6","9,69","17,03","12,14","12,42","136.180.002,79","11,39","1,94","32.843.007.830,50"
WEGE3,"33,63","1,83","28,4","8,75","23,29","30,82","25,44","25,71","178.576.391,62","3,84","1,18","141.491.589.712,58"
