TICKER,COTAÇÃO,P/L ,P/VP,DY,EV/EBIT ,ROIC,ROE,VALOR DE MERCADO
PRNR3,12,"-1.722,86","2,06","0,00%","6,96","15,44%","-0,12%",466.896.000
LVTC3,"3,94","-482,52","0,4","0,34%","0,74","17,37%","-0,08%",254.772.000
EMBR3,"22,4","-406,11","1,3","0,00%","10,37","5,60%","-0,32%",16.586.400.000
LWSA3,"5,55","-374,07","1,13","0,94%","33,01","2,05%","-0,30%",3.312.720.000
MAPT3,"37,5","-236,05","-5,54","0,00%","-246,16","-18,11%","2,35%",34.462.500
RRRP3,"28,75","-187,89","1,33","0,00%","16,35","5,03%","-0,71%",6.911.030.000
BAUH4,"79,88","-147,03","4,22","1,51%","42,47","9,17%","-2,87%",417.133.000
CBEE3,13,"-93,07","0,62","0,00%",7,"7,62%","-0,66%",3.302.460.000
MOVI3,"9,42","-76,34","1,13","1,28%","6,78","12,65%","-1,48%",3.412.880.000
CSAN3,"18,57","-75,32","1,88","2,31%","11,88","5,79%","-2,50%",34.801.500.000
MAPT4,"10,5","-66,09","-1,55","0,00%","-68,93","-18,11%","2,35%",9.649.500
OFSA3,"23,2","-53,59","1,87","2,04%","10,39","13,82%","-3,49%",1.251.620.000
DOHL3,"6,51","-52,79","0,7","0,00%","-35,36","-1,74%","-1,33%",492.449.000
USIM6,"16,28","-43,8","0,87","2,02%","16,08","4,04%","-1,99%",20.400.100.000
DOHL4,"5,07","-41,11","0,55","0,00%","-28,3","-1,74%","-1,33%",383.520.000
MNPR3,"22,16","-39,01","-0,49","0,00%","2,38","21,00%","1,25%",157.336.000
MGLU3,"2,08","-35,3","1,47","0,00%","17,69","4,22%","-4,17%",14.037.800.000
HAPV3,"3,93","-28,92","0,6","0,00%","1.006,23","0,05%","-2,09%",29.630.100.000
BALM4,"R$34,28","6,48","2,96","27,29%","5,67","0,36","0,46","4.646.280.000,00"
CSNA3,"R$13,19","6,5","0,94","22,74%","16,84","0,03","0,15","13.190.000.000,00"
LJQQ3,"5,12","-25,98","1,9","3,30%","18,56","2,14%","-7,33%",958.925.000
USIM5,"9,5","-25,56","0,51","3,46%","9,5","4,04%","-1,99%",11.904.300.000
USIM3,"9,02","-24,27","0,48","3,31%","9,03","4,04%","-1,99%",11.302.800.000
ALPA3,"9,5","-23,04","1,2","0,00%","72,17","1,47%","-5,22%",6.489.090.000
PTBL3,"6,45","-22,58","2,38","3,26%","13,63","5,80%","-10,54%",909.366.000
RCSL3,"2,4","-22,09","2.633,57","0,00%","-154,34","-3,35%","-11920,70%",305.494.000
ALPA4,"8,67","-21,03","1,1","0,00%","66,58","1,47%","-5,22%",5.922.150.000
CLSA3,"3,1","-20,77","0,81","0,00%","-2,5","-18,35%","-3,92%",582.571.000
ESPA3,"1,08","-19,35","0,44","0,00%","9,57","5,54%","-2,30%",390.337.000
TELB3,"15,11","-19,22","0,82","0,00%","-0,56","-11,71%","-4,28%",1.305.250.000
MRVE3,"8,08","-19,19","0,66","0,00%","58,22","0,87%","-3,45%",4.547.640.000
ORVR3,"35,32","-19,17","4,74","0,00%","41,49","4,70%","-24,76%",2.929.830.000
ANIM3,"4,41","-19,09","0,7","0,00%","9,38","7,12%","-3,66%",1.781.060.000
COGN3,"3,03","-19,01","0,47","0,00%","9,15","5,64%","-2,47%",5.686.120.000
AMBP3,"14,39","-18,94","2,43","0,63%","7,24","12,67%","-12,82%",2.403.730.000
CASH3,"8,09","-18,02","0,9","0,00%","-3,73","-9,79%","-4,98%",700.434.000
MYPK3,"11,79","-17,61","0,47","2,56%","8,26","6,85%","-2,68%",1.812.360.000
QUAL3,"2,45","-17,37","0,52","3,23%","4,78","12,64%","-3,02%",695.834.000
OPCT3,"5,83","-17,36","1,47","0,00%","10,39","9,99%","-8,45%",1.165.760.000
SYNE3,"4,32","-16,81","0,44","0,00%","9,25","3,92%","-2,60%",659.422.000
GUAR3,"5,33","-16,45","0,53","0,00%","20,76","1,94%","-3,24%",2.660.740.000
TELB4,"11,68","-14,86","0,64","0,00%","0,39","-11,71%","-4,28%",1.008.950.000
ZAMP3,"5,22","-12,48","1,08","0,00%","23,09","2,86%","-8,65%",1.437.350.000
NORD3,"13,4","-11,82","-0,57","0,00%","-338,65","-2,04%","4,80%",88.721.400
FRIO3,254,"-10,08","-2,37","0,00%","26,65","7,44%","23,53%",1.043.180.000
ALPK3,"4,6","-9,22","2,62","0,00%","8,21","12,18%","-28,46%",998.311.000
AERI3,"0,79","-8,97","1,2","0,00%","6,81","10,74%","-13,42%",981.499.000
ENJU3,"1,74",-8,1,"0,00%","-1,14","-51,68%","-12,45%",352.577.000
DASA3,"8,59","-7,67","0,81","0,00%","14,75","4,48%","-10,61%",6.466.550.000
CBAV3,"R$6,80","11,86","1,76","20,40%","14,69","0,12","0,15","6.134.690.000,00"
BRFS3,"14,61","-6,66","1,74","0,00%","1.502,39","0,07%","-26,15%",24.580.900.000
AZEV3,"1,63","-6,5","1,95","0,00%","-3,35","-17,92%","-30,05%",273.530.000
AZEV4,"1,6","-6,38","1,92","0,00%","-3,3","-17,92%","-30,05%",268.496.000
RCSL4,"0,69","-6,35","757,15","0,00%","-44,36","-3,35%","-11920,70%",87.829.400
BLUT3,"5,14","-5,63","0,46","0,00%","-53,97","-0,33%","-8,24%",26.229.400
BIOM3,"5,38","-5,61","4,84","0,00%","-8,42","-26,04%","-86,26%",479.358.000
TEND3,"10,37","-5,52","1,43","0,00%","18,69","2,62%","-25,84%",1.276.480.000
SEER3,"6,57","-5,31","0,7","0,00%","6,88","6,21%","-13,22%",845.704.000
MRFG3,"9,74","-4,2","1,48","0,00%","48,88","0,91%","-35,29%",9.077.680.000
ADHM3,"1,56","-4,09","-1,29","0,00%","-5,69","521,70%","31,47%",25.440.500
AZUL4,"14,27","-4,07","-0,23","0,00%","11,88","15,57%","5,74%",4.967.160.000
IFCM3,"1,63","-4,06","0,76","0,00%","-35,21","-1,76%","-18,75%",1.038.860.000
CEED3,"22,9","-3,97","-0,53","0,00%","7,95","9,65%","13,27%",1.563.040.000
CEED4,22,"-3,82","-0,51","0,00%","7,84","9,65%","13,27%",1.501.610.000
AALR3,"8,44","-3,79","0,98","0,00%","82,26","0,91%","-25,92%",998.393.000
KRSA3,"0,99","-3,61","0,76","0,00%","11,68","6,13%","-20,93%",765.615.000
GFSA3,"10,98","-3,5","0,45","0,00%","-20,59","-2,40%","-12,88%",760.727.000
CVCB3,"3,07","-3,37","3,7","0,00%","-346,86","-0,21%","-109,80%",1.613.560.000
BRKM3,"19,31","-3,27","3,06","0,00%","-12,92","-5,06%","-93,87%",15.394.100.000
MWET4,"7,58","-3,26","-1,5","0,00%","-14,66","-2,45%","46,11%",15.599.600
BRKM5,"18,55","-3,14","2,94","0,00%","-12,72","-5,06%","-93,87%",14.788.200.000
TPIS3,"4,16","-2,93","0,21","4,41%","-26,54","-2,39%","-7,27%",183.040.000
BAHI3,8,"-2,6","4,9","0,00%","-29,42","-2,19%","-188,32%",211.125.000
MBLY3,"1,93","-2,54","0,42","0,00%","-2,99","-14,28%","-16,44%",205.526.000
BRKM6,"14,99","-2,53","2,38","0,00%","-11,79","-5,06%","-93,87%",11.950.100.000
CTSA3,"4,23","-2,39","0,51","0,00%","-5,02","-10,65%","-21,36%",117.700.000
WEST3,"1,26","-2,26","0,51","0,00%","-0,19","-47,01%","-22,68%",139.453.000
MLAS3,"1,88","-2,15","0,44","0,00%","-2,18","-16,50%","-20,23%",1.542.610.000
AGXY3,"2,86","-1,94","0,48","1,39%","3,49","11,13%","-24,61%",488.559.000
AVLL3,"5,19","-1,88","-1,35","0,00%","99,3","1,62%","71,88%",859.327.000
TRAD3,"0,71","-1,73","0,42","0,00%","-1,19","-19,61%","-24,05%",198.904.000
TXRX3,12,"-1,7","-0,14","0,00%","3.270,93","0,07%","8,34%",51.108.000
BLUT4,"1,52","-1,66","0,14","0,00%","-23,74","-0,33%","-8,24%",7.756.560
GSHP3,"14,5","-1,66","-0,03","0,00%","39,58","3,11%","2,01%",27.967.200
VIVR3,"4,72","-1,26","6,46","0,00%","-4,14","-11,03%","-514,44%",129.078.000
DOTZ3,"7,24","-1,15","-0,43","0,00%","-2,35","-25,73%","37,49%",95.887.000
CTSA4,"1,98","-1,12","0,24","0,00%","-3,95","-10,65%","-21,36%",55.093.500
JFEN3,"2,06","-0,99","-0,06","0,00%","-8,65","-7,27%","6,43%",43.344.500
FHER3,"7,21","-0,96","9,96","0,00%","-0,92","-24,47%","-1033,75%",388.309.000
ESTR3,8,"-0,95","-0,12","0,00%","-37,82","-1,60%","12,38%",64.672.000
CTNM3,"9,95","-0,64","1,27","0,00%","-3,48","-14,43%","-197,20%",304.828.000
FRTA3,"1,72","-0,62","-0,05","0,00%","-19,96","-16,16%","7,67%",3.532.200
ESTR4,"4,6","-0,55","-0,07","0,00%","-30,84","-1,60%","12,38%",37.186.400
INEP3,"4,33","-0,52","-0,11","0,00%","-17,86","-5,20%","20,32%",191.874.000
TXRX4,"3,68","-0,52","-0,04","0,00%","2.939,76","0,07%","8,34%",15.673.100
BHIA3,"8,7","-0,46","0,19","0,00%","5,38","6,25%","-40,32%",827.222.000
GPIV33,"2,99","-0,45","0,25","0,00%","0,05","-30,70%","-54,77%",236.837.000
LIGT3,"6,3","-0,44","0,77","0,00%","-7,85","-7,06%","-173,47%",2.347.100.000
INEP4,"3,42","-0,41","-0,08","0,00%","-17,2","-5,20%","20,32%",151.550.000
PCAR3,"4,14","-0,36","0,22","0,00%","-12,29","-1,69%","-61,20%",1.118.380.000
SEQL3,"0,53","-0,36","1,47","0,00%","-3,21","-23,23%","-404,55%",186.486.000
